Delaware,DE,12/7/1787,1954,759000
Pennsylvania,PA,12/12/1787,44817,12296000
New Jersey,NJ,12/18/1787,7417,8135000
Georgia,GA,1/2/1788,57906,7637000
Connecticut,CT,1/9/1788,4845,3271000
Massachusetts,MA,2/6/1788,7840,5950000
Maryland,MD,4/28/1788,9774,5322000
South Carolina,SC,5/23/1788,30109,3932000
New Hampshire,NH,6/21/1788,8968,1165000
Virginia,VA,6/25/1788,39594,7048000
New York,NY,7/26/1788,47214,18237000
North Carolina,NC,11/21/1789,48711,7617000
Rhode Island,RI,5/29/1790,1045,998000
Vermont,VT,3/4/1791,9250,592000
Kentucky,KY,6/1/1792,39728,3989000
Tennessee,TN,6/1/1796,41217,5538000
Ohio,OH,3/1/1803,40948,11453000
Louisiana,LA,4/30/1812,43562,4478000
Indiana,IN,12/11/1816,35867,6045000
Mississippi,MS,12/10/1817,46907,2750000
Illinois,IL,12/3/1818,55584,12168000
Alabama,AL,12/14/1819,50744,4485000
Maine,ME,3/15/1820,60862,1240000
Missouri,MO,8/10/1821,69704,5458562
Arkansas,AR,6/15/1836,52068,2578000
Michigan,MI,1/26/1837,56804,9759000
Florida,FL,3/3/1845,53927,15313000
Texas,TX,12/29/1845,261797,20039000
Iowa,IA,12/28/1846,55869,2930000
Wisconsin,WI,5/29/1848,54310,5381000
California,CA,9/9/1850,155959,34888000
Minnesota,MN,5/11/1858,79610,4828000
Oregon,OR,2/14/1859,95997,3404000
Kansas,KS,1/29/1861,81815,2722000
West Virginia,WV,6/20/1863,24078,1840000
Nevada,NV,10/31/1864,109826,1691000
Nebraska,NE,3/1/1867,76872,1704000
Colorado,CO,8/1/1876,104100,4059000
North Dakota,ND,11/2/1889,70704,643000
South Dakota,SD,11/2/1889,77121,770000
Montana,MT,11/8/1889,147046,920000
Washington,WA,11/11/1889,71303,6070000
Idaho,ID,7/3/1890,83574,1290000
Wyoming,WY,7/10/1890,97818,522000
Utah,UT,1/4/1896,84904,2148000
Oklahoma,OK,11/16/1907,69903,3382000
New Mexico,NM,1/6/1912,121598,1823000
Arizona,AZ,2/14/1912,113635,4437000
Alaska,AK,1/15/1959,571951,699000
Hawaii,HI,8/21/1959,6423,1327000
